ratio,name
1.038759713908539,SiII_1309*/SiII_1260
1.0389134216020115,FeII_1608/CIV_1548
1.0416553287459587,Ly_delta/Ly_limit
1.0434619640210205,SiIV_1394/CII_1335*
1.0443810014939316,SiIV_1394/CII_1334
1.0477665826630747,OI_1302/NV_1243
1.0489224625343576,FeII_1608/SiII_1533*
1.0495381411710938,SiII_1304/NV_1243
1.049930318859611,OI_1305*/NV_1243
1.050209495685321,SiIV_1403/CII_1335*
1.050872543055864,OI_1306**/NV_1243
1.0511344761007282,SiIV_1403/CII_1334
1.0511353133342105,OI_1302/NV_1239
1.0529125676752333,SiII_1304/NV_1239
1.0533060062753217,OI_1305*/NV_1239
1.0534852639676087,SiII_1309*/NV_1243
1.0535426057985273,FeII_1608/SiII_1527
1.0542512598672449,OI_1306**/NV_1239
1.0546873907496352,Ly_beta/Ly_gamma
1.0568723810784608,SiII_1309*/NV_1239
1.058797921743835,CII_1334/SiII_1260
1.059730466484204,CII_1335*/SiII_1260
1.0645276468508504,SiIV_1394/SiII_1309*
1.0666549092291826,Ly_gamma/Ly_limit
1.0671743176221409,SiIV_1394/OI_1306**
1.068132016857625,SiIV_1394/OI_1305*
1.0685311424624695,SiIV_1394/SiII_1304
1.0702929038542504,MgII_2796/FeII_2613*
1.0703378095845506,SiIV_1394/OI_1302
1.0711528563546968,OI_1302/Ly_alpha
1.0714113994478016,SiIV_1403/SiII_1309*
1.0727199294571392,FeII_2587/FeII_2411*
1.0729639562575406,SiII_1304/Ly_alpha
1.0730399530370882,MgII_2804/FeII_2613*
1.0733648873983164,OI_1305*/Ly_alpha
1.0738075352187473,CII_1334/NV_1243
1.0740751848772683,SiIV_1403/OI_1306**
1.0743281421497495,OI_1306**/Ly_alpha
1.074753299796267,CII_1335*/NV_1243
1.0750390770609757,SiIV_1403/OI_1305*
1.0754407836057585,SiIV_1403/SiII_1304
1.0754495279235963,MgII_2796/FeII_2600
1.076999179300371,SiII_1309*/Ly_alpha
1.0772591335145951,SiIV_1403/OI_1302
1.0772599915564882,CII_1334/NV_1239
1.07738703745851,AlII_1671/CIV_1550
1.0782087969125482,CII_1335*/NV_1239
1.078209812268402,MgII_2804/FeII_2600
1.078328073445859,FeII_2600/FeII_2411*
1.0791779563544852,AlII_1671/CIV_1548
1.0794101775721325,FeII_2587/FeII_2396*
1.079999738876755,Ly_beta/Ly_delta
1.0810719421619972,MgII_2796/FeII_2587
1.0825715686796762,FeII_2587/FeII_2389*
1.0835234106083853,FeII_2613*/FeII_2411*
1.083846657181232,MgII_2804/FeII_2587
1.0850532979547076,FeII_2600/FeII_2396*
1.0855667504463562,FeII_2587/FeII_2383
1.0882312167094486,FeII_2600/FeII_2389*
1.0883493465809801,SiII_1527/SiIV_1403
1.0893631423834393,FeII_2587/FeII_2374
1.0895749115904487,AlII_1671/SiII_1533*
1.0902810369527027,FeII_2613*/FeII_2396*
1.0912420571864396,FeII_2600/FeII_2383
